"id","model_id","size","manual_price","pneumatic_price","electric_price","gear_price","gate_304_diff","gate_316_diff","rod_304_diff","rod_316_diff","branding_fee","min_order_qty","status","remark","created_at","_openid"
"1671","182","40","0.00","0.00","0.00","820.00","0.00","0.00","0.00","0.00","25.00","1","enabled","","2026-06-09 23:02:41","import"
"1672","182","50","0.00","0.00","0.00","820.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 23:02:41","import"
"1673","182","65","0.00","0.00","0.00","850.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 23:02:41","import"
"1674","182","80","0.00","0.00","0.00","885.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 23:02:41","import"
"1675","182","100","0.00","0.00","0.00","940.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 23:02:41","import"
"1676","182","125","0.00","0.00","0.00","1060.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 23:02:41","import"
"1677","182","150","0.00","0.00","0.00","1210.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 23:02:41","import"
"1678","182","200","0.00","0.00","0.00","1425.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 23:02:41","import"
"1679","182","250","0.00","0.00","0.00","1865.00","0.00","0.00","0.00","0.00","50.00","30","enabled","","2026-06-09 23:02:41","import"
"1680","182","300","0.00","0.00","0.00","2350.00","0.00","0.00","0.00","0.00","60.00","30","enabled","","2026-06-09 23:02:42","import"
"1681","182","350","0.00","0.00","0.00","2670.00","0.00","0.00","0.00","0.00","70.00","30","enabled","","2026-06-09 23:02:42","import"
"1682","182","400","0.00","0.00","0.00","3350.00","0.00","0.00","0.00","0.00","80.00","30","enabled","","2026-06-09 23:02:42","import"
"1683","182","450","0.00","0.00","0.00","4065.00","0.00","0.00","0.00","0.00","100.00","6","enabled","","2026-06-09 23:02:42","import"
"1684","182","500","0.00","0.00","0.00","5515.00","0.00","0.00","0.00","0.00","150.00","6","enabled","","2026-06-09 23:02:42","import"
"1685","182","600","0.00","0.00","0.00","8399.00","0.00","0.00","0.00","0.00","250.00","6","enabled","","2026-06-09 23:02:42","import"
"1686","182","700","0.00","0.00","0.00","10865.00","0.00","0.00","0.00","0.00","450.00","2","enabled","","2026-06-09 23:02:42","import"
"1687","182","800","0.00","0.00","0.00","15195.00","0.00","0.00","0.00","0.00","650.00","2","enabled","","2026-06-09 23:02:42","import"
